mv89psg6zh4,33,46,682611,clean,66,English,A bird in a sink keeps getting under the running water from a faucet.
mv89psg6zh4,33,46,760882,clean,16,English,A bird is bathing in a sink.
mv89psg6zh4,33,46,878566,clean,76,English,A bird is splashing around under a running faucet.
mv89psg6zh4,33,46,707318,clean,14,English,A bird is bathing in a sink.
mv89psg6zh4,33,46,135621,clean,58,English,A bird is standing in a sink drinking water that is pouring out of the facet.
mv89psg6zh4,33,46,257511,clean,57,English,A faucet is running while a bird stands in the sink below.
mv89psg6zh4,33,46,435773,clean,25,English,A bird is playing in a sink with running water.
mv89psg6zh4,33,46,275759,clean,27,English,A bird is playing in tap water.
mv89psg6zh4,33,46,157374,clean,30,English,A bird is bathing in the sink.
mv89psg6zh4,33,46,373663,clean,36,English,A bird is taking a bath.
mv89psg6zh4,33,46,155632,clean,47,English,A bird is taking a shower in a sink.
mv89psg6zh4,33,46,617730,clean,27,English,A bird is showering in the sink.
mv89psg6zh4,33,46,762891,clean,23,English,The bird is taking a bath under the faucet.
mv89psg6zh4,33,46,675312,clean,165,English,A parakeet is taking a shower in a sink.
mv89psg6zh4,33,46,807872,clean,31,English,A bird gets washed.
mv89psg6zh4,33,46,625932,clean,28,English,A bird is having a bath in the kitchen sink.
mv89psg6zh4,33,46,585381,clean,135,English,A bird is bathing in a sink under running water.
ZbzDGXEwtGc,6,15,550906,clean,24,English,a plane flying in the sky
ZbzDGXEwtGc,6,15,164462,clean,42,English,A commercial plane flying.
ZbzDGXEwtGc,6,15,155632,clean,51,English,A jet is flying.
ZbzDGXEwtGc,6,15,617730,clean,27,English,A large jet is flying through the sky.
ZbzDGXEwtGc,6,15,297776,clean,28,English,A passenger plane flies through the air.
ZbzDGXEwtGc,6,15,807872,clean,17,English,A plane flies through the air.
ZbzDGXEwtGc,6,15,825347,clean,11,English,A plane is flying in the air.
ZbzDGXEwtGc,6,15,922727,clean,18,English,A plane is flying.
ZbzDGXEwtGc,6,15,878566,clean,35,English,A South African Airways plane is flying in a blue sky.
ZbzDGXEwtGc,6,15,615204,clean,39,English,An aeroplane is flying in the air.
ZbzDGXEwtGc,6,15,280252,clean,41,English,An airplane is flying in the air.
ZbzDGXEwtGc,6,15,374994,clean,30,English,An airplane is flying in the clear sky.
ZbzDGXEwtGc,6,15,772960,clean,72,English,An airplane is flying in the sky.
ZbzDGXEwtGc,6,15,760882,clean,19,English,An airplane is flying.
ZbzDGXEwtGc,6,15,275759,clean,43,English,An airplane is flying.
ZbzDGXEwtGc,6,15,553931,clean,22,English,The plane flew in the sky.
ZbzDGXEwtGc,6,15,762891,clean,25,English,The plane is soaring through the air.
ZbzDGXEwtGc,6,15,309959,clean,24,English,The South African jet banked itself in the air.
jbzaMtPYtl8,48,58,682611,clean,203,English,Two men are rolling huge tires sideways down a street while spectators watch.
jbzaMtPYtl8,48,58,760882,clean,78,English,Two men are pushing large tires.
jbzaMtPYtl8,48,58,159786,clean,404,English,Men are flipping large tires in a race.
jbzaMtPYtl8,48,58,922727,clean,26,English,Two men are moving tires.
jbzaMtPYtl8,48,58,275759,clean,39,English,Men are rolling big tyre.
jbzaMtPYtl8,48,58,825347,clean,23,English,Two men are pushing large tires.
jbzaMtPYtl8,48,58,374994,clean,19,English,Men are tumbling tires in a race.
jbzaMtPYtl8,48,58,297776,clean,39,English,Two men push monstrous tires along the ground.
jbzaMtPYtl8,48,58,155632,clean,23,English,Men are pushing large tires.
